"CO_ANO";"CO_MES";"CO_NCM";"SG_UF_NCM";"VL_FOB"
2024;5;"85015210";"SC";44428
2024;1;"44123900";"SC";31614
2024;4;"69072100";"SC";147117
2024;1;"85015310";"SC";22854
2024;2;"85439090";"SC";1540
2024;3;"21031010";"SC";82
2024;2;"61112000";"SC";86785
2024;3;"62034200";"SC";241
2024;2;"44219900";"SC";402
2024;2;"33061000";"SC";14
2024;2;"85393990";"SC";459
2024;3;"44123900";"SC";2049100
2024;1;"16029000";"SC";60
2024;5;"48191000";"SC";691
2024;3;"85015310";"SC";77688
2024;5;"69072200";"SC";19191
2024;4;"84149039";"SC";843
2024;5;"85389090";"SC";2439
2024;4;"03048910";"SC";77
2024;3;"38160019";"SC";348
2024;1;"07041000";"SC";22
2024;5;"85043400";"SC";207847
2024;4;"84819090";"SC";45
2024;3;"02102000";"SC";148
2024;1;"40169300";"SC";30
2024;5;"90314990";"SC";49
2024;4;"84818092";"SC";610
2024;3;"84819090";"SC";21404
2024;1;"48181000";"SC";62
2024;5;"32089010";"SC";17804
2024;2;"62171000";"SC";5648
2024;5;"42021220";"SC";320
2024;4;"38276400";"SC";840
2024;4;"76161000";"SC";121
2024;3;"09021000";"SC";18
2024;3;"69072300";"SC";8480
2024;3;"44111410";"SC";43994
2024;4;"85016300";"SC";37555
2024;3;"85369090";"SC";265
2024;5;"09109900";"SC";20
2024;5;"30051030";"SC";21250
2024;1;"27079990";"SC";8915
2024;1;"40092290";"SC";150
2024;4;"84601900";"SC";2134
2024;2;"73181600";"SC";111081
2024;3;"84369100";"SC";3721
2024;2;"75052290";"SC";662
2024;4;"39241000";"SC";25142
2024;5;"04011010";"SC";56
2024;5;"87162000";"SC";27880
2024;5;"85389090";"SC";389
2024;2;"84822010";"SC";351
2024;3;"39249000";"SC";1616
2024;2;"48237000";"SC";56
2024;1;"85030090";"SC";7276
2024;4;"73089090";"SC";9809
2024;4;"84362900";"SC";27733
2024;2;"44182900";"SC";73125
2024;2;"60063320";"SC";3
2024;4;"39232190";"SC";242769
2024;3;"85444200";"SC";14
2024;3;"07061000";"SC";73
2024;4;"22029100";"SC";21
2024;5;"02071400";"SC";64496
2024;1;"05040090";"SC";40894
2024;2;"22041090";"SC";67
2024;4;"62045300";"SC";1527
2024;2;"32151100";"SC";2444
2024;1;"84145910";"SC";524
2024;5;"85049040";"SC";207
2024;3;"62053000";"SC";6
2024;5;"73269090";"SC";8
2024;3;"07141000";"SC";5
2024;5;"85176294";"SC";141
2024;2;"07070000";"SC";18
2024;4;"04012010";"SC";575
2024;3;"15092000";"SC";163
2024;4;"21039099";"SC";112
2024;3;"85369090";"SC";3353
2024;1;"17019900";"SC";24
2024;2;"85371090";"SC";209068
2024;4;"61124100";"SC";256
2024;3;"10089090";"SC";28
2024;5;"85334099";"SC";150
2024;5;"32089010";"SC";4850
2024;5;"73151900";"SC";1
2024;5;"87032290";"SC";90234
2024;3;"72285000";"SC";7238
2024;1;"40169990";"SC";520
2024;2;"85118020";"SC";714
2024;5;"84818095";"SC";23866
2024;1;"90328981";"SC";705
2024;1;"44111490";"SC";42578
2024;4;"09093200";"SC";7
2024;3;"48192000";"SC";5
2024;1;"63025990";"SC";889
2024;3;"85389090";"SC";608
2024;4;"38249989";"SC";101
2024;1;"85015210";"SC";242472
2024;5;"85015210";"SC";3539
2024;2;"85364100";"SC";114712
2024;2;"61044200";"SC";9835
2024;5;"08011200";"SC";18
2024;3;"61071100";"SC";8657
2024;2;"04072100";"SC";268
2024;5;"17019900";"SC";94
2024;5;"73181600";"SC";36447
2024;4;"85149000";"SC";1900
2024;3;"08094000";"SC";52
2024;1;"61046900";"SC";122
2024;5;"69072100";"SC";18014
2024;2;"85334012";"SC";221
2024;4;"32089029";"SC";5017
2024;5;"84219110";"SC";454
2024;3;"61032200";"SC";19
2024;4;"44071100";"SC";2543744
2024;4;"68053090";"SC";5084
2024;2;"90322000";"SC";191
2024;5;"84717040";"SC";2106
2024;3;"40169300";"SC";1954
2024;4;"21069090";"SC";415
2024;1;"08071100";"SC";98
2024;5;"84145990";"SC";1832
2024;4;"19053100";"SC";146
2024;2;"02032900";"SC";496638
2024;3;"84313900";"SC";31045
2024;3;"28353990";"SC";6630
2024;4;"85369090";"SC";12
2024;5;"07061000";"SC";127
2024;5;"19053200";"SC";57687
2024;5;"32091020";"SC";158
2024;3;"03038990";"SC";129325
2024;2;"61152100";"SC";732
2024;1;"84818019";"SC";279
2024;3;"62046200";"SC";77621
2024;2;"85015290";"SC";266
2024;2;"09023000";"SC";106
2024;5;"02109911";"SC";1155827
2024;5;"02013000";"SC";4789
2024;2;"84799090";"SC";7589
2024;1;"02091019";"SC";77
2024;1;"39269090";"SC";9213
2024;5;"11081400";"SC";87333
2024;2;"21041011";"SC";10
2024;3;"90184999";"SC";5122
2024;3;"84818021";"SC";269
2024;5;"44219900";"SC";14
2024;1;"84519090";"SC";210
2024;3;"73181400";"SC";11907
2024;5;"73181500";"SC";426204
2024;4;"84835010";"SC";5088
2024;4;"09042100";"SC";19
2024;4;"44219900";"SC";5665
2024;1;"84137080";"SC";3889
2024;5;"85452000";"SC";50
2024;3;"73269090";"SC";449
2024;5;"84842000";"SC";4596
2024;1;"87149490";"SC";9402
2024;4;"84389000";"SC";948
2024;5;"61091000";"SC";2100
2024;3;"62024000";"SC";207
2024;1;"85015310";"SC";382482
2024;3;"07051100";"SC";15
2024;3;"62052000";"SC";22603
2024;4;"48189090";"SC";71488
2024;3;"61112000";"SC";34281
2024;4;"48211000";"SC";2
2024;4;"11041900";"SC";45
2024;5;"62044300";"SC";1521
2024;3;"61099000";"SC";3969
2024;3;"62064000";"SC";1045
2024;4;"84834090";"SC";3862
2024;2;"85014019";"SC";2763
2024;3;"84799090";"SC";7110
2024;4;"08081000";"SC";24
2024;2;"83021000";"SC";21
2024;2;"19021900";"SC";114
2024;5;"84311010";"SC";3457
2024;5;"85372090";"SC";31312
2024;3;"61046300";"SC";41
2024;4;"61091000";"SC";39
