CD7_IBGE_MUN,NM_MUN,SG_UF,NM_MICRO,NM_MESO
3146305,Padre Paraíso,MG,Araçuaí,Jequitinhonha
3146404,Paineiras,MG,Três Marias,Central Mineira
3146503,Pains,MG,Formiga,Oeste de Minas
3146552,Pai Pedro,MG,Janaúba,Norte de Minas
3146602,Paiva,MG,Juiz de Fora,Zona da Mata
3146701,Palma,MG,Cataguases,Zona da Mata
3146750,Palmópolis,MG,Almenara,Jequitinhonha
3146909,Papagaios,MG,Sete Lagoas,Metropolitana de Belo Horizonte
3147006,Paracatu,MG,Paracatu,Noroeste de Minas
3147105,Pará de Minas,MG,Pará de Minas,Metropolitana de Belo Horizonte
3147204,Paraguaçu,MG,Alfenas,Sul/Sudoeste de Minas
3147303,Paraisópolis,MG,Itajubá,Sul/Sudoeste de Minas
3147402,Paraopeba,MG,Sete Lagoas,Metropolitana de Belo Horizonte
3147501,Passabém,MG,Conceição do Mato Dentro,Metropolitana de Belo Horizonte
3147600,Passa Quatro,MG,São Lourenço,Sul/Sudoeste de Minas
3147709,Passa Tempo,MG,Oliveira,Oeste de Minas
3147808,Passa-Vinte,MG,Andrelândia,Sul/Sudoeste de Minas
3147907,Passos,MG,Passos,Sul/Sudoeste de Minas
3147956,Patis,MG,Montes Claros,Norte de Minas
3148004,Patos de Minas,MG,Patos de Minas,Triângulo Mineiro/Alto Paranaíba
3148103,Patrocínio,MG,Patrocínio,Triângulo Mineiro/Alto Paranaíba
3148202,Patrocínio do Muriaé,MG,Muriaé,Zona da Mata
3148301,Paula Cândido,MG,Viçosa,Zona da Mata
3148400,Paulistas,MG,Guanhães,Vale do Rio Doce
3148509,Pavão,MG,Teófilo Otoni,Vale do Mucuri
3148608,Peçanha,MG,Peçanha,Vale do Rio Doce
3148707,Pedra Azul,MG,Pedra Azul,Jequitinhonha
3148756,Pedra Bonita,MG,Manhuaçu,Zona da Mata
3148806,Pedra do Anta,MG,Viçosa,Zona da Mata
3148905,Pedra do Indaiá,MG,Formiga,Oeste de Minas
3149002,Pedra Dourada,MG,Muriaé,Zona da Mata
