"cd_cnes";"cd_mun"
"0275166";"420005"
"0875791";"420005"
"2380218";"420005"
"6425208";"420005"
"7250355";"420005"
"9121005";"420005"
"9293906";"420005"
"0452181";"420010"
"0489603";"420010"
"0489646";"420010"
"0517216";"420010"
"0517240";"420010"
"0533017";"420010"
"0533025";"420010"
"0533033";"420010"
"0533041";"420010"
"0533068";"420010"
"0533084";"420010"
"0599905";"420010"
"0605433";"420010"
"0635189";"420010"
"0653500";"420010"
"0952257";"420010"
"2410788";"420010"
"2410818";"420010"
"2410826";"420010"
"2410834";"420010"
"2411547";"420010"
"2411563";"420010"
"2411571";"420010"
"2411598";"420010"
"2852195";"420010"
"2889749";"420010"
"2953137";"420010"
"2972247";"420010"
"3142507";"420010"
"3320391";"420010"
"3629368";"420010"
"4136977";"420010"
"4148541";"420010"
"4156846";"420010"
"4488717";"420010"
"5776910";"420010"
"6033016";"420010"
"6052770";"420010"
"6055141";"420010"
"6179819";"420010"
"6253245";"420010"
"6468985";"420010"
"6474128";"420010"
"6474136";"420010"
"6474144";"420010"
"6474179";"420010"
"6702678";"420010"
"6793142";"420010"
"6826326";"420010"
"7014880";"420010"
"7165447";"420010"
"7581157";"420010"
"7745729";"420010"
"7751575";"420010"
"7813090";"420010"
"7813112";"420010"
"7858396";"420010"
"7922892";"420010"
"7951493";"420010"
"7973799";"420010"
"9054111";"420010"
"9137750";"420010"
"9398120";"420010"
"9435069";"420010"
"9933824";"420010"
"0107999";"420020"
"0284726";"420020"
"0511757";"420020"
"0703931";"420020"
"0897159";"420020"
"2358948";"420020"
"2377144";"420020"
"2377152";"420020"
"2377160";"420020"
"2377934";"420020"
"2599279";"420020"
"2909677";"420020"
"3485285";"420020"
"4097912";"420020"
"4117050";"420020"
"4199693";"420020"
"4646177";"420020"
"6244297";"420020"
"6384021";"420020"
"6785115";"420020"
"7578709";"420020"
"9229426";"420020"
"9289224";"420020"
"9458026";"420020"
"9458034";"420020"
"9513639";"420020"
"9806873";"420020"
"0214086";"420030"
"2377497";"420030"
"2377500";"420030"
"2598809";"420030"
"2674750";"420030"
"4155033";"420030"
"4401255";"420030"
"9522646";"420030"
"0280712";"420040"
"0514330";"420040"
"0877387";"420040"
"2380145";"420040"
"2380153";"420040"
"2380188";"420040"
"2380196";"420040"
