"cd_mun";"nu_quantidade";"municipio";"microrregiao"
"420005";7;"Abdon Batista";"Curitibanos"
"420010";65;"Abelardo Luz";"Xanxerê"
"420020";27;"Agrolândia";"Ituporanga"
"420030";8;"Agronômica";"Rio do Sul"
"420040";26;"Água Doce";"Joaçaba"
"420050";12;"Águas de Chapecó";"Chapecó"
"420055";8;"Águas Frias";"Chapecó"
"420060";10;"Águas Mornas";"Tabuleiro"
"420070";15;"Alfredo Wagner";"Tabuleiro"
"420075";2;"Alto Bela Vista";"Concórdia"
"420080";15;"Anchieta";"São Miguel do Oeste"
"420090";8;"Angelina";"Tijucas"
"420100";17;"Anita Garibaldi";"Campos de Lages"
"420110";11;"Anitápolis";"Tabuleiro"
"420120";32;"Antônio Carlos";"Florianópolis"
"420125";19;"Apiúna";"Blumenau"
"420127";12;"Arabutã";"Concórdia"
"420130";51;"Araquari";"Joinville"
"420140";228;"Araranguá";"Araranguá"
"420150";18;"Armazém";"Tubarão"
"420160";17;"Arroio Trinta";"Joaçaba"
"420165";4;"Arvoredo";"Concórdia"
"420170";23;"Ascurra";"Blumenau"
"420180";4;"Atalanta";"Ituporanga"
"420190";9;"Aurora";"Rio do Sul"
"420195";24;"Balneário Arroio do Silva";"Araranguá"
"420200";295;"Balneário Camboriú";"Itajaí"
"420205";13;"Balneário Barra do Sul";"Joinville"
"420207";26;"Balneário Gaivota";"Araranguá"
"420208";6;"Bandeirante";"São Miguel do Oeste"
"420209";4;"Barra Bonita";"São Miguel do Oeste"
"420210";67;"Barra Velha";"Itajaí"
"420213";13;"Bela Vista do Toldo";"Canoinhas"
"420215";8;"Belmonte";"São Miguel do Oeste"
"420220";24;"Benedito Novo";"Blumenau"
"420230";133;"Biguaçu";"Florianópolis"
"420240";1142;"Itajaí";"Itajaí"
"420243";16;"Bocaina do Sul";"Campos de Lages"
"420245";56;"Bombinhas";"Itajaí"
"420250";6;"Bom Jardim da Serra";"Campos de Lages"
"420253";5;"Bom Jesus";"Xanxerê"
"420257";5;"Bom Jesus do Oeste";"Chapecó"
"420260";22;"Bom Retiro";"Campos de Lages"
"420270";10;"Botuverá";"Blumenau"
"420280";123;"Braço do Norte";"Tubarão"
"420285";8;"Braço do Trombudo";"Rio do Sul"
"420287";5;"Brunópolis";"Curitibanos"
"420290";390;"Brusque";"Blumenau"
"420300";296;"Caçador";"Florianópolis"
"420310";21;"Caibi";"Chapecó"
"420315";7;"Calmon";"Joaçaba"
"420320";139;"Camboriú";"Itajaí"
"420325";4;"Capão Alto";"Campos de Lages"
"420330";17;"Campo Alegre";"São Bento do Sul"
"420340";21;"Campo Belo do Sul";"Campos de Lages"
"420350";25;"Campo Erê";"Chapecó"
"420360";135;"Campos Novos";"Curitibanos"
"420370";21;"Canelinha";"Tijucas"
"420380";226;"Canoinhas";"Canoinhas"
"420390";92;"Capinzal";"Joaçaba"
"420395";39;"Capivari de Baixo";"Tubarão"
"420400";33;"Catanduvas";"Joaçaba"
"420410";15;"Caxambu do Sul";"Chapecó"
"420415";8;"Celso Ramos";"Campos de Lages"
"420417";10;"Cerro Negro";"Campos de Lages"
"420419";4;"Chapadão do Lageado";"Ituporanga"
"420420";1027;"Chapecó";"Chapecó"
"420425";65;"Cocal do Sul";"Criciúma"
"420430";348;"Concórdia";"Concórdia"
"420435";6;"Cordilheira Alta";"Chapecó"
"420440";27;"Coronel Freitas";"Chapecó"
"420445";9;"Coronel Martins";"Xanxerê"
"420450";39;"Corupá";"Joinville"
"420455";43;"Correia Pinto";"Campos de Lages"
"420460";880;"Criciúma";"Criciúma"
"420470";35;"Cunha Porã";"Chapecó"
"420475";7;"Cunhataí";"Chapecó"
"420480";207;"Curitibanos";"Curitibanos"
"420490";24;"Descanso";"São Miguel do Oeste"
"420500";43;"Dionísio Cerqueira";"São Miguel do Oeste"
"420510";8;"Dona Emma";"Rio do Sul"
"420515";5;"Doutor Pedrinho";"Blumenau"
"420517";6;"Entre Rios";"Xanxerê"
"420519";8;"Ermo";"Araranguá"
"420520";13;"Erval Velho";"Joaçaba"
"420530";38;"Faxinal dos Guedes";"Xanxerê"
"420535";4;"Flor do Sertão";"Chapecó"
"420540";2393;"Florianópolis";"Florianópolis"
