"municipio";"nu_quantidade"
"Abdon Batista";7
"Abelardo Luz";65
"Agrolândia";27
"Agronômica";8
"Alfredo Wagner";15
"Alto Bela Vista";2
"Anchieta";15
"Angelina";8
"Anita Garibaldi";17
"Anitápolis";11
"Antônio Carlos";32
"Apiúna";19
"Arabutã";12
"Araquari";51
"Araranguá";228
"Armazém";18
"Arroio Trinta";17
"Arvoredo";4
"Ascurra";23
"Atalanta";4
"Aurora";9
"Balneário Arroio do Silva";24
"Balneário Barra do Sul";13
"Balneário Camboriú";295
"Balneário Gaivota";26
"Balneário Piçarras";68
"Balneário Rincão";24
"Bandeirante";6
"Barra Bonita";4
"Barra Velha";67
"Bela Vista do Toldo";13
"Belmonte";8
"Benedito Novo";24
"Biguaçu";133
"Blumenau";1470
"Bocaina do Sul";16
"Bom Jardim da Serra";6
"Bom Jesus";5
"Bom Jesus do Oeste";5
"Bom Retiro";22
"Bombinhas";56
"Botuverá";10
"Braço do Norte";123
"Braço do Trombudo";8
"Brunópolis";5
"Brusque";390
"Caibi";21
"Calmon";7
"Camboriú";139
"Campo Alegre";17
"Campo Belo do Sul";21
"Campo Erê";25
"Campos Novos";135
"Canelinha";21
"Canoinhas";226
"Capinzal";92
"Capivari de Baixo";39
"Capão Alto";4
"Catanduvas";33
"Caxambu do Sul";15
"Caçador";296
"Celso Ramos";8
"Cerro Negro";10
"Chapadão do Lageado";4
"Chapecó";1027
"Cocal do Sul";65
"Concórdia";348
"Cordilheira Alta";6
"Coronel Freitas";27
"Coronel Martins";9
"Correia Pinto";43
"Corupá";39
"Criciúma";880
"Cunha Porã";35
"Cunhataí";7
"Curitibanos";207
"Descanso";24
"Dionísio Cerqueira";43
"Dona Emma";8
"Doutor Pedrinho";5
"Entre Rios";6
"Ermo";8
"Erval Velho";13
"Faxinal dos Guedes";38
"Flor do Sertão";4
"Florianópolis";2393
"Formosa do Sul";10
"Forquilhinha";46
"Fraiburgo";144
"Frei Rogério";2
"Galvão";8
"Garopaba";57
"Garuva";44
"Gaspar";153
"Governador Celso Ramos";20
"Gravatal";26
"Grão Pará";12
"Guabiruba";46
