CNES - Estabelecimentos por Tipo - Santa Catarina
Quantidade por Município
Período:Mai/2024
"Município";"Quantidade"
"420005 ABDON BATISTA";7
"420010 ABELARDO LUZ";65
"420020 AGROLANDIA";27
"420030 AGRONOMICA";8
"420040 AGUA DOCE";26
"420050 AGUAS DE CHAPECO";12
"420055 AGUAS FRIAS";8
"420060 AGUAS MORNAS";10
"420070 ALFREDO WAGNER";15
"420075 ALTO BELA VISTA";2
"420080 ANCHIETA";15
"420090 ANGELINA";8
"420100 ANITA GARIBALDI";17
"420110 ANITAPOLIS";11
"420120 ANTONIO CARLOS";32
"420125 APIUNA";19
"420127 ARABUTA";12
"420130 ARAQUARI";51
"420140 ARARANGUA";228
"420150 ARMAZEM";18
"420160 ARROIO TRINTA";17
"420165 ARVOREDO";4
"420170 ASCURRA";23
"420180 ATALANTA";4
"420190 AURORA";9
"420195 BALNEARIO ARROIO DO SILVA";24
"420200 BALNEARIO CAMBORIU";295
"420205 BALNEARIO BARRA DO SUL";13
"420207 BALNEARIO GAIVOTA";26
"420208 BANDEIRANTE";6
"420209 BARRA BONITA";4
"420210 BARRA VELHA";67
"420213 BELA VISTA DO TOLDO";13
"420215 BELMONTE";8
"420220 BENEDITO NOVO";24
"420230 BIGUACU";133
"420240 BLUMENAU";1142
"420243 BOCAINA DO SUL";16
"420245 BOMBINHAS";56
"420250 BOM JARDIM DA SERRA";6
"420253 BOM JESUS";5
"420257 BOM JESUS DO OESTE";5
"420260 BOM RETIRO";22
"420270 BOTUVERA";10
"420280 BRACO DO NORTE";123
"420285 BRACO DO TROMBUDO";8
"420287 BRUNOPOLIS";5
"420290 BRUSQUE";390
"420300 CACADOR";296
"420310 CAIBI";21
"420315 CALMON";7
"420320 CAMBORIU";139
"420325 CAPAO ALTO";4
"420330 CAMPO ALEGRE";17
"420340 CAMPO BELO DO SUL";21
"420350 CAMPO ERE";25
"420360 CAMPOS NOVOS";135
"420370 CANELINHA";21
"420380 CANOINHAS";226
"420390 CAPINZAL";92
"420395 CAPIVARI DE BAIXO";39
"420400 CATANDUVAS";33
"420410 CAXAMBU DO SUL";15
"420415 CELSO RAMOS";8
"420417 CERRO NEGRO";10
"420419 CHAPADAO DO LAGEADO";4
"420420 CHAPECO";1027
"420425 COCAL DO SUL";65
"420430 CONCORDIA";348
"420435 CORDILHEIRA ALTA";6
"420440 CORONEL FREITAS";27
"420445 CORONEL MARTINS";9
"420450 CORUPA";39
"420455 CORREIA PINTO";43
"420460 CRICIUMA";880
"420470 CUNHA PORA";35
"420475 CUNHATAI";7
"420480 CURITIBANOS";207
"420490 DESCANSO";24
"420500 DIONISIO CERQUEIRA";43
"420510 DONA EMMA";8
"420515 DOUTOR PEDRINHO";5
"420517 ENTRE RIOS";6
"420519 ERMO";8
"420520 ERVAL VELHO";13
"420530 FAXINAL DOS GUEDES";38
"420535 FLOR DO SERTAO";4
"420540 FLORIANOPOLIS";2393
"420543 FORMOSA DO SUL";10
"420545 FORQUILHINHA";46
"420550 FRAIBURGO";144
"420555 FREI ROGERIO";2
"420560 GALVAO";8
"420570 GAROPABA";57
"420580 GARUVA";44
"420590 GASPAR";153
"420600 GOVERNADOR CELSO RAMOS";20
"420610 GRAO PARA";12
"420620 GRAVATAL";26
"420630 GUABIRUBA";46
"420640 GUARACIABA";29
"420650 GUARAMIRIM";95
"420660 GUARUJA DO SUL";13
"420665 GUATAMBU";6
"420670 HERVAL D'OESTE";37
"420675 IBIAM";7
"420680 IBICARE";8
